,zpid,price_str,price,zestimate,rent_zestimate,tax_assesed_value,beds,baths,sqft,lot_sqft,lot_acres,lat,lng,zip_code,city,state,address,status_type,status_text,home_type,is_preforeclosure,is_zillow_owned,days_on_zillow,link,miles_from_work,miles_from_work_class,price_per_square_foot,price_per_lot_size,lot_size_per_square_foot,beds_per_square_foot,baths_per_square_foot,beds_and_baths_per_square_foot,lot_sqft_vs_house_sqft,zestimate_vs_price,reveal_factor,good_deal_factor,location_factor,green_space_factor,interior_space_factor,space_cost_factor,reveal_factor_class
0,13392556,"$700,000",700000.0,734600.0,2995.0,528400.0,4.0,2.0,1624.0,7500.0,0.1721763085399449,39.73336,-104.92774,80220,Denver,CO,1126 Fairfax St Denver CO 80220,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1126-Fairfax-St-Denver-CO-80220/13392556_zpid/,19.68982735650628,Worst,431.0344827586207,93.33333333333333,5876.0,406.0,812.0,270.6666666666667,4.6182266009852215,34600.0,,,,,,,
1,13395647,"$4,500,000",4500000.0,1992400.0,7651.0,1767000.0,5.0,7.0,6401.0,9380.0,0.21533516988062443,39.71556,-104.938095,80246,Denver,CO,36 S Ash St Denver CO 80246,FOR_SALE,Coming soon,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/36-S-Ash-St-Denver-CO-80246/13395647_zpid/,20.09307512626973,Worst,703.0151538822059,479.7441364605544,2979.0,1280.2,914.4285714285714,533.4166666666666,1.4653960318700203,-2507600.0,,,,,,,
2,110555809,"$4,375,000",4375000.0,3036800.0,11851.0,1629600.0,6.0,7.0,7026.0,7524.0,0.17272727272727273,39.714233,-104.954254,80209,Denver,CO,2821 E Cedar Ave APT 13 Denver CO 80209,FOR_SALE,Coming soon,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2821-E-Cedar-Ave-APT-13-Denver-CO-80209/110555809_zpid/,19.542562604838693,Worst,622.6871619698263,581.4726209463051,498.0,1171.0,1003.7142857142857,540.4615384615385,1.0708795900939367,-1338200.0,,,,,,,
3,13325617,"$550,000",550000.0,533236.0,2496.0,591800.0,3.0,2.0,2340.0,4460.0,0.10238751147842057,39.735573,-104.94806,80206,Denver,CO,1222 Adams St Denver CO 80206,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1222-Adams-St-Denver-CO-80206/13325617_zpid/,18.76970553476348,Worst,235.04273504273505,123.31838565022422,2120.0,780.0,1170.0,468.0,1.9059829059829059,-16764.0,,,,,,,
4,2060666732,"$239,000",239000.0,,,,2.0,2.0,770.0,,,39.736195,-104.94104,80206,Denver,CO,1285 Colorado Blvd APT 8 Denver CO 80206,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/1285-Colorado-Blvd-APT-8-Denver-CO-80206/2060666732_zpid/,19.023136292346308,Worst,,,,,,,,,,,,,,,
5,13330813,"$1,225,000",1225000.0,841700.0,2840.0,546700.0,5.0,4.0,2520.0,4690.0,0.10766758494031221,39.730785,-104.97493,80218,Denver,CO,914 N Ogden St Denver CO 80218,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/914-N-Ogden-St-Denver-CO-80218/13330813_zpid/,17.956817425404907,Worst,486.1111111111111,261.1940298507463,2170.0,504.0,630.0,280.0,1.8611111111111112,-383300.0,,,,,,,
6,2062218425,"$949,900",949900.0,,,,3.0,3.0,1800.0,5720.0,0.13131313131313133,39.735268,-104.94318,80206,Denver,CO,1201 Jackson St Denver CO 80206,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1201-Jackson-St-Denver-CO-80206/2062218425_zpid/,18.978789887614866,Worst,527.7222222222222,166.06643356643357,3920.0,600.0,600.0,300.0,3.1777777777777776,,,,,,,,
7,337911482,"$1,999,900",1999900.0,1935387.0,8868.0,496200.0,6.0,6.0,5050.0,6734.0,0.15459136822773187,39.745136,-104.94021,80220,Denver,CO,4015 E 18th Ave Denver CO 80220,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/4015-E-18th-Ave-Denver-CO-80220/337911482_zpid/,18.661603291242717,Worst,396.019801980198,296.98544698544697,1684.0,841.6666666666666,841.6666666666666,420.8333333333333,1.3334653465346535,-64513.0,,,,,,,
8,13348463,"$499,500",499500.0,477800.0,1649.0,343500.0,1.0,1.0,727.0,,,39.7191,-104.94698,80206,Denver,CO,180 N Cook St APT 106 Denver CO 80206,FOR_SALE,Condo for sale,CONDO,False,False,-1,https://zillow.com/homedetails/180-N-Cook-St-APT-106-Denver-CO-80206/13348463_zpid/,19.58235844260602,Worst,,,,,,,,-21700.0,,,,,,,
9,13393124,"$325,000",325000.0,,,289500.0,2.0,2.0,928.0,,,39.73336,-104.93981,80220,Denver,CO,1121 N Albion St APT 802 Denver CO 80220,FOR_SALE,Townhouse for sale,TOWNHOUSE,False,False,-1,https://zillow.com/homedetails/1121-N-Albion-St-APT-802-Denver-CO-80220/13393124_zpid/,19.200448498346173,Worst,,,,,,,,,,,,,,,
